Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.inbox.downstream.table-downstream-batch-100.fresh.metrics-off,1271050000076,1144562698548,364694158,10311746,111149056
All.inbox.downstream.delegated-batch-100.fresh.metrics-off,1081541199769,1043422660986,190839190,9242246,111149056
