Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.inbox.downstream.table-downstream-single.all-duplicate.metrics-off,298099199998,37098156314,363123836,1744907,111149056
All.inbox.downstream.delegated-single.all-duplicate.metrics-off,58660599908,28358708860,24100638,665634,111149056
