Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.inbox.downstream.table-downstream-single.fresh.metrics-off,1844436999883,1792114569282,400465385,9552364,101711872
All.inbox.downstream.delegated-single.fresh.metrics-off,3486267000114,1783299989258,197011290,7190826,101711872
